DOY,Temperature,PARi,PP,PET,eta,lai,gcut_height,grazing_animal_count,grazing_avg_animal_weight
57,5.936020833,0.9550425,0.238,0.357863428,0.178931714,3.677058375,0,0,0
58,5.62325,5.3622,0,1.930537678,0.965268839,4.2886186875,0,0,0
59,4.175458333,5.2595475,0.051,1.714236474,0.857118237,4.0317375,0,0,0
60,7.953645833,5.44797525,0.051,2.382382536,1.191191268,4.09274090625,0,0,0
61,8.717541667,4.598973,0,1.792081267,0.8960406335,4.13194996875,0,0,0
62,6.869458333,3.3817005,0,1.228049474,0.614024737,4.26406303125,0,0,0
63,8.1751875,2.90500275,0,1.184951848,0.592475924,4.1364495,0,0,0
64,4.803895833,1.5060255,0,0.607919132,0.303959566,4.36234321875,0,0,0
65,3.516645833,5.847525,0,1.778259001,0.8891295005,4.494240375,0,0,0
66,4.151291667,3.3071505,0.051,1.08137049,0.540685245,4.36911225,0,0,0
67,4.576791667,5.74757475,0,1.91534941,0.957674705,4.17471815625,0,0,0
68,1.9265,5.76164775,0,1.814420613,0.9072103065,3.849357227375,0,0,0
69,4.9365625,5.6558775,0.238,2.259417011,1.1297085055,3.387113477375,0,0,0
70,10.35916667,2.36079225,6.528,1.490673739,0.7453368695,2.965550946125,0,0,0
71,7.7545625,4.7121525,1.598,1.838446304,0.919223152,3.003605664875,0,0,0
72,7.7170625,2.56120275,8.874,1.275794484,0.637897242,3.304376571125,0,0,0
73,5.8711875,4.8465,1.241,1.781311409,0.8906557045,3.317874039875,0,0,0
74,6.69475,1.75199775,11.509,0.631332018,0.315666009,3.343961571125,0,0,0
75,6.391829787,3.144687319,1.241,1.01765811,0.508829055,4.066109289875,0,0,0
76,6.730395833,2.06369775,1.19,0.883741392,0.441870696,4.62766715625,0,0,0
77,3.924708333,2.28337725,0.136,0.712774711,0.3563873555,4.92441403125,0,0,0
78,3.701375,2.66523,6.12,0.848043961,0.4240219805,5.347773375,0,0,0
79,2.8673125,7.11831975,0.017,2.17088196,1.08544098,5.8876755,0,0,0
80,2.462916667,2.6691825,0.068,0.810717567,0.4053587835,5.98283615625,0,0,0
81,4.344479167,5.05520025,0,1.505968069,0.7529840345,6.60848146875,0,0,0
82,5.517125,7.5291795,0.034,2.562912755,1.2814563775,6.99130303125,0,0,0
83,8.25925,7.63715025,0.017,3.083609913,1.5418049565,7.05302409375,0,0,0
84,8.4374375,4.43767275,0,1.573669906,0.786834953,7.09176815625,0,0,0
85,9.763770833,5.670252,0.051,2.372915572,1.186457786,7.4420090625,0,0,0
86,7.372791667,6.984447,0.748,2.441410335,1.2207051675,7.772809125,0,0,0
87,8.048125,7.879605,0.017,2.936096963,1.4680484815,7.96499390625,0,0,0
88,12.142625,7.674345,0,3.510218833,1.7551094165,7.94258390625,0,0,0
89,13.3545,8.11777275,0,3.567178041,1.7835890205,7.71542484375,0,0,0
90,15.21929167,8.022948,0,3.594517294,1.797258647,7.75370296875,0,0,0
91,14.2270625,7.94710275,0,3.567921813,1.7839609065,7.85937825,0,0,0
92,13.088125,7.2396,0,3.440250845,1.7201254225,7.69617703125,0,0,0
93,6.9164375,8.3166525,0,3.039276034,1.519638017,7.10598890625,0,0,0
94,7.418104167,8.52192525,0.017,3.225490796,1.612745398,6.2586620625,0,0,0
95,7.035645833,7.700325,0.221,3.0227202,1.5113601,6.0399579375,0,0,0
96,2.9275,5.8570725,0,2.091579418,1.045789709,5.83808859375,0,0,0
97,3.167666667,8.42399775,0,2.57785763,1.288928815,6.2481230095,0,0,0
98,4.860895833,8.86835025,0,3.193576367,1.5967881835,6.1685198845,0,0,0
99,12.09377083,6.641493,0.119,3.24711555,1.623557775,6.030820822,0,0,0
100,11.3875,2.518095,4.046,1.274434004,0.637217002,5.85325579075,0,0,0
101,7.698770833,1.53803775,10.591,0.487840846,0.243920423,6.36447172825,0,0,0
